Sample ID,Lipid Per Sample (ug),TAG,FFA,ST,Polar Lipids,Total
KRL-WLD-01-19,Per Sample,414.8,109.1,66.9,762.6,1353.4
KRL-WLD-02-19,Per Sample,544.5,84.7,93.6,1136.1,1859.0
KRL-WLD-03-19,Per Sample,1396.3,93.8,110.9,1772.4,3373.3
KRL-WLD-04-19,Per Sample,1088.1,111.9,107.6,1716.6,3024.2
M1301,Per Sample,1599.0,191.7,135.1,1380.2,3306.1
M1303,Per Sample,1599.0,191.7,135.1,1380.2,3306.1
M1304,Per Sample,1699.8,138.9,114.4,1940.5,3893.6
M1201,Per Sample,2356.9,279.6,166.9,2251.1,5054.5
M1202,Per Sample,1426.6,148.5,123.6,1577.5,3276.2
M1203,Per Sample,1226.2,181.8,99.6,1380.4,2888.1
M1204,Per Sample,2015.5,207.6,164.4,2018.1,4405.5
MTEN1,Per Sample,2758.7,252.9,296.1,3335.8,6643.5
MTEN2,Per Sample,1607.3,171.0,137.1,2015.2,3930.6
MTEN3,Per Sample,2315.7,172.6,142.8,1960.8,4591.9
MTEN4,Per Sample,1714.5,177.9,178.5,1839.0,3909.9
MTEN5,Per Sample,2620.9,222.8,188.1,2757.8,5789.6
MTEN6,Per Sample,2541.6,280.4,186.9,2645.6,5654.5
MTEN7,Per Sample,1665.2,187.6,118.7,1739.4,3710.9
MTEN8,Per Sample,2660.0,118.9,210.4,2818.3,5807.5
M8001,Per Sample,2476.7,286.9,315.2,3123.9,6202.7
M8002,Per Sample,1800.9,280.6,137.7,1730.7,3949.8
M8003,Per Sample,1239.2,117.6,99.9,1211.3,2668.0
M8004,Per Sample,1365.1,290.7,136.4,1553.2,3345.4
M7001,Per Sample,2252.2,223.1,207.7,2245.7,4928.8
M7003,Per Sample,1476.1,249.4,156.7,1615.1,3497.2
M7004,Per Sample,1797.7,192.3,144.6,1413.6,3548.1
M7005,Per Sample,2918.7,326.8,325.8,3519.7,7090.9
M7006,Per Sample,1136.6,146.8,122.7,1535.0,2941.0
M7007,Per Sample,1928.7,206.9,177.7,1913.2,4226.5
M6001,Per Sample,2132.1,191.5,202.6,1743.9,4270.1
M6002,Per Sample,2078.7,165.6,140.0,1977.5,4361.8
M6003,Per Sample,2026.0,206.4,135.9,1989.7,4357.9
M6004,Per Sample,693.3,125.7,124.0,1291.0,2234.0
M2001,Per Sample,2695.1,399.1,228.0,2677.3,5999.4
M2002,Per Sample,660.8,127.5,74.4,929.4,1792.1
M2003,Per Sample,1423.7,147.3,117.1,1419.7,3107.7
M2004,Per Sample,2977.9,244.9,332.5,3501.0,7056.2
M1001,Per Sample,1686.0,101.0,139.3,1859.2,3785.5
M1003,Per Sample,2489.2,219.1,257.2,3102.9,6068.4
M1004,Per Sample,1699.8,138.9,114.4,1940.5,3893.6
M1009,Per Sample,2110.5,214.1,217.0,2245.7,4787.4
M5001,Per Sample,2072.9,273.8,222.7,2246.4,4815.8
M5002,Per Sample,951.9,82.4,98.1,899.5,2032.0
M5003,Per Sample,2386.3,152.1,206.5,2481.9,5226.8
M4001,Per Sample,1968.8,253.5,210.4,2387.5,4820.2
M4002,Per Sample,2019.9,165.6,158.8,2040.8,4385.1
Comments,,,,,,